generating_rate,sampling_rate,sampling_strategy,sampling_size,dtar_true,var_asymptotic,ctar_hat,dtar_true_hat,bias,converged,status_code
24,672,equal,100,0.05,0.25,-1.3889318309285394,0.9516055119742451,0.9016055119742451,1,0
24,672,equal,100,0.05,0.25,-34.2516997736952,0.2942648720427264,0.2442648720427264,0,5
24,672,equal,100,0.05,0.25,-21.116600185054015,0.47040357038452973,0.42040357038452975,1,0
24,672,equal,100,0.05,0.25,-20.76964040351144,0.47626880319135795,0.42626880319135796,1,0
24,672,equal,100,0.05,0.25,-23.368612195292037,0.43405097724528124,0.38405097724528126,0,5
24,672,equal,100,0.05,0.25,-24.40974584244549,0.4182078851338839,0.3682078851338839,0,5
24,672,equal,100,0.05,0.25,-87.62729469631704,0.043737639178813875,-0.006262360821186128,0,5
24,672,equal,100,0.05,0.25,-17.663253360891236,0.5321496792841458,0.4821496792841458,0,5
24,672,equal,100,0.05,0.25,-23.56753137200238,0.43097829533407855,0.38097829533407856,1,0
24,672,equal,100,0.05,0.25,-2.209338211149711,0.924127771447992,0.8741277714479919,1,0
24,672,equal,100,0.05,0.25,-23.201483256203215,0.43664952759523035,0.38664952759523036,0,5
24,672,equal,100,0.05,0.25,-23.350891470864575,0.4343257676824678,0.3843257676824678,1,0
24,672,equal,100,0.05,0.25,-6.040156749871222,0.805961032898526,0.755961032898526,1,0
24,672,equal,100,0.05,0.25,-23.286666968023948,0.43532313811341233,0.38532313811341234,0,5
24,672,equal,100,0.05,0.25,-28.001883574053437,0.3678546945691604,0.31785469456916043,1,0
24,672,equal,100,0.05,0.25,-23.3945990242319,0.43364832096643663,0.38364832096643664,0,5
24,672,equal,100,0.05,0.25,-2.5709401741401403,0.9122699891965185,0.8622699891965184,1,0
24,672,equal,100,0.05,0.25,-3.1519106894915643,0.8935363710796935,0.8435363710796935,1,0
24,672,equal,100,0.05,0.25,-3.3538731356636293,0.8871145308516379,0.8371145308516379,1,0
24,672,equal,100,0.05,0.25,-2.917070594215122,0.9010621069201072,0.8510621069201072,1,0
24,672,equal,100,0.05,0.25,-24.20727105548253,0.4212430083514179,0.37124300835141794,1,0
24,672,equal,100,0.05,0.25,-62.65665485994513,0.10669962090677274,0.05669962090677273,0,5
24,672,equal,100,0.05,0.25,-2.313297516758163,0.9207030017011292,0.8707030017011291,1,0
24,672,equal,100,0.05,0.25,-2.5145558047235186,0.9141089032566537,0.8641089032566537,1,0
24,672,equal,100,0.05,0.25,-1.4494701178669955,0.9495502857177975,0.8995502857177975,1,0
24,672,equal,100,0.05,0.25,-2.7573772934236116,0.9062158461961332,0.8562158461961331,1,0
24,672,equal,100,0.05,0.25,-22.955348325862186,0.44050483003194135,0.39050483003194136,0,5
24,672,equal,100,0.05,0.25,-19.53891514790265,0.49766983779467394,0.44766983779467395,1,0
24,672,equal,100,0.05,0.25,-7.177540315308829,0.7738782437781505,0.7238782437781505,1,0
24,672,equal,100,0.05,0.25,-2.812374025804621,0.9044376320396573,0.8544376320396573,1,0
24,672,equal,100,0.05,0.25,-21.60912937664402,0.4622013683670465,0.4122013683670465,0,5
24,672,equal,100,0.05,0.25,-4.276922988089122,0.8583466418757846,0.8083466418757845,1,0
24,672,equal,100,0.05,0.25,-22.486286552291965,0.4479464152302748,0.3979464152302748,1,0
24,672,equal,100,0.05,0.25,-3.501039631181329,0.8824641363608506,0.8324641363608506,1,0
24,672,equal,100,0.05,0.25,-100.22878271616332,0.027886867978899593,-0.02211313202110041,1,0
24,672,equal,100,0.05,0.25,-1.5577147222576333,0.9458865258554203,0.8958865258554203,1,0
24,672,equal,100,0.05,0.25,-24.030983073242066,0.423903520567965,0.373903520567965,0,5
24,672,equal,100,0.05,0.25,-24.238397545187635,0.42077498939000474,0.37077498939000475,0,5
24,672,equal,100,0.05,0.25,-23.874468751836744,0.4262796902435365,0.3762796902435365,0,5
24,672,equal,100,0.05,0.25,-20.687753233066452,0.4776637099524451,0.4276637099524451,1,0
24,672,equal,100,0.05,0.25,-23.737695824817305,0.4283670528183232,0.3783670528183232,1,0
24,672,equal,100,0.05,0.25,-23.818472086202934,0.42713305188712947,0.3771330518871295,0,5
24,672,equal,100,0.05,0.25,-25.771488290542347,0.3983555638191834,0.3483555638191834,0,5
24,672,equal,100,0.05,0.25,-2.100297254976855,0.9277336372248134,0.8777336372248133,1,0
24,672,equal,100,0.05,0.25,-22.476565983136712,0.44810195273098447,0.3981019527309845,1,0
24,672,equal,100,0.05,0.25,-23.503732687107167,0.4319614095214883,0.3819614095214883,0,5
24,672,equal,100,0.05,0.25,-20.762198305785525,0.4763954071219186,0.4263954071219186,0,5
24,672,equal,100,0.05,0.25,-23.965164352320333,0.42490114935299006,0.37490114935299007,1,0
24,672,equal,100,0.05,0.25,-17.410482319123382,0.5369754298610733,0.4869754298610733,0,5
24,672,equal,100,0.05,0.25,-3.189618198263927,0.8923338584516761,0.8423338584516761,1,0
24,672,equal,100,0.05,0.25,-3.853629036367168,0.8714213991080326,0.8214213991080326,1,0
24,672,equal,100,0.05,0.25,-23.705013248980446,0.42886734969670276,0.37886734969670277,0,5
24,672,equal,100,0.05,0.25,-19.17812976505375,0.5041239009551741,0.45412390095517413,1,0
24,672,equal,100,0.05,0.25,-2.139054743920591,0.9264503603621004,0.8764503603621003,1,0
24,672,equal,100,0.05,0.25,-2.344073030428426,0.9196915895011614,0.8696915895011613,1,0
24,672,equal,100,0.05,0.25,-22.364116256348552,0.4499051763129613,0.3999051763129613,1,0
